ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,name,industry,list_date
300091.SZ,20260305,2.98,0.7734,0.56,,20.4287,846929.43,487355.7012,*ST金灵,机械基件,20100625
601033.SH,20260305,15.42,2.4192,0.97,16.9125,1.2962,1387800.0,370080.0,永兴股份,环境保护,20240118
301038.SZ,20260305,21.66,0.7841,0.64,91.4564,5.4067,483191.28,483191.28,深水规院,建筑工程,20210804
301239.SZ,20260305,31.27,0.5748,0.65,,2.2027,467858.7631,467858.7631,普瑞眼科,医疗保健,20220705
300606.SZ,20260305,34.58,8.6557,0.78,,7.0876,478406.7823,406918.3726,金太阳,机械基件,20170208
301031.SZ,20260305,141.27,3.0069,0.79,74.3023,9.8738,1389001.675,968491.7422,中熔电气,电气设备,20210715
300907.SZ,20260305,29.21,1.3224,0.88,32.9603,3.5094,280416.0,280416.0,康平科技,电气设备,20201118
000868.SZ,20260305,4.64,1.0644,0.67,519.4626,5.1207,435934.837,340264.386,安凯客车,汽车整车,19970725
300702.SZ,20260305,22.68,1.323,0.66,141.0944,2.1214,789212.1966,478921.0474,天宇股份,化学制药,20170919
001319.SZ,20260305,26.6,3.5706,0.79,33.5064,2.8049,376124.0,218120.1995,铭科精技,汽车配件,20220512
000715.SZ,20260305,6.12,1.9671,0.92,32.9434,1.6836,330745.9887,329863.9614,中兴商业,百货,19970508
603535.SH,20260305,9.23,0.6011,0.72,23.0421,1.791,471577.5309,471577.5309,嘉诚国际,仓储物流,20170808
300001.SZ,20260305,31.02,5.945,1.3,35.7236,4.0819,3274277.9857,3199887.0408,特锐德,电气设备,20091030
000887.SZ,20260305,20.0,1.3722,0.69,21.0351,1.8657,2632979.494,2628741.216,中鼎股份,汽车配件,19981203
002263.SZ,20260305,3.53,4.4705,1.76,361.8658,2.3962,663061.1153,663055.8203,大东南,塑料,20080728
603885.SH,20260305,12.61,0.8365,0.85,30.1223,2.8019,2754030.6429,2754030.6429,吉祥航空,空运,20150527
603511.SH,20260305,14.58,0.3575,0.66,36.0615,1.3531,589105.7923,585951.7009,爱慕股份,服饰,20210531
300676.SZ,20260305,44.42,1.1935,0.72,,2.0107,1858164.4472,1848078.6641,华大基因,医疗保健,20170714
000607.SZ,20260305,4.27,2.0941,0.72,,2.8033,434557.2211,377909.2806,华媒控股,广告包装,19960830
002870.SZ,20260305,37.8,2.1163,0.69,32.1555,2.9492,499245.9041,487474.7724,香山股份,汽车配件,20170515
600501.SH,20260305,25.96,2.1973,0.65,,6.4448,1110631.6232,1110631.6232,航天晨光,专用机械,20010615
300579.SZ,20260305,30.0,2.5037,1.25,643.1665,10.36,810000.0,786835.776,数字认证,软件服务,20161223
920121.BJ,20260305,39.39,1.9361,0.59,25.5604,3.3091,260242.5728,46843.6673,江天科技,广告包装,20251225
688584.SH,20260305,21.74,1.5655,0.92,119.777,3.5033,1446706.4594,744456.364,上海合晶,半导体,20240208
300080.SZ,20260305,5.53,3.9629,1.26,,2.1467,1035979.3811,1034585.8836,易成新能,电气设备,20100625
002990.SZ,20260305,25.92,1.9136,0.73,38.806,2.774,678720.7417,347575.2457,盛视科技,软件服务,20200525
688593.SH,20260305,35.23,7.0285,1.41,1919.7729,10.4722,1618922.1185,1136807.7101,新相微,半导体,20230601
300326.SZ,20260305,6.13,0.875,0.63,,1.5772,439528.7741,436485.0807,ST凯利,医疗保健,20120613
002656.SZ,20260305,2.79,1.8281,1.15,,4.6781,198793.0365,188768.555,*ST摩登,服饰,20120228
002589.SZ,20260305,3.14,2.31,0.82,229.1187,0.8833,472479.0879,428795.7461,瑞康医药,医药商业,20110610
002945.SZ,20260305,17.35,1.9112,1.49,132.6478,6.5079,4684500.0,4684500.0,华林证券,证券,20190117
600328.SH,20260305,9.27,1.9452,0.68,26.2006,1.1317,1359268.9371,1359268.9371,中盐化工,化工原料,20001222
600970.SH,20260305,10.88,0.7769,1.02,9.5623,1.2874,2852539.6421,2849183.6202,中材国际,建筑工程,20050412
002892.SZ,20260305,11.79,1.7348,0.85,146.1298,6.7354,877809.2173,569948.9177,科力尔,电气设备,20170817
000400.SZ,20260305,33.78,9.3995,1.99,30.807,2.9659,3440905.9571,3417526.8529,许继电气,电气设备,19970418
603359.SH,20260305,6.61,2.3324,0.54,,1.1147,294869.456,294869.456,东珠生态,建筑工程,20170901
301028.SZ,20260305,14.6,1.3036,0.7,25.812,3.4802,560712.5445,362750.7795,鼎熔岩,专用机械,20210720
002148.SZ,20260305,8.04,2.6421,0.84,171.6296,3.6785,449425.8133,361251.3592,北纬科技,互联网,20070810
300220.SZ,20260305,14.85,1.8576,0.71,1062.6415,35.6435,224532.0,224263.7318,金运激光,专用机械,20110525
300655.SZ,20260305,16.38,3.7926,0.75,,6.917,1757533.0336,1746881.136,晶瑞电材,半导体,20170523
300013.SZ,20260305,4.15,6.8189,1.19,,11.8309,231718.941,185074.0445,新宁物流,仓储物流,20091030
688059.SH,20260305,126.1,3.4738,0.83,117.8799,6.7641,1260833.1445,1180025.7173,华锐精密,机械基件,20210208
688385.SH,20260305,82.1,1.9481,0.82,118.1059,10.8776,6762685.7825,4428336.4825,复旦微电,半导体,20210804
002481.SZ,20260305,4.79,0.6371,0.62,62.4572,2.4157,590940.6235,535505.2829,双塔食品,食品,20100921
603049.SH,20260305,51.51,4.0315,1.21,11.894,1.8658,4504475.3153,450447.5326,中策橡胶,汽车配件,20250605
603866.SH,20260305,5.1,1.1035,1.1,15.6269,1.5622,815856.7691,815856.7691,桃李面包,食品,20151222
920837.BJ,20260305,14.72,1.3813,0.75,34.5068,3.92,223321.2225,201351.6225,华原股份,汽车配件,20230515
002678.SZ,20260305,5.76,1.35,0.57,,2.4118,782392.506,781962.882,珠江钢琴,文教休闲,20120530
002121.SZ,20260305,9.65,8.1517,1.46,,21.6436,1602688.1039,1350925.1199,科陆电子,电器仪表,20070306
002282.SZ,20260305,7.76,1.6365,1.01,21.3213,1.1295,408826.558,391885.9271,博深股份,机械基件,20090821
001223.SZ,20260305,54.83,0.7062,0.52,149.2798,2.6269,511849.016,511849.016,欧克科技,专用机械,20221212
300460.SZ,20260305,9.58,3.9908,1.66,,4.8193,269010.4725,269010.4725,ST惠伦,元器件,20150515
000638.SZ,20260305,1.98,0.2121,0.05,57.8829,4.4199,61654.5371,61408.829,*ST万方,农业综合,19961126
002069.SZ,20260305,3.85,1.8693,0.93,,151.0789,273778.1947,273433.2347,獐子岛,渔业,20060928
300099.SZ,20260305,9.33,7.7031,1.11,72.3477,3.0091,687868.4829,542457.6199,尤洛卡,电器仪表,20100806
301051.SZ,20260305,21.55,2.2213,0.61,,1.984,437558.6477,346972.1667,信濠光电,元器件,20210827
603109.SH,20260305,24.92,0.7647,0.57,26.869,2.6172,520450.1131,520450.1131,神驰机电,电气设备,20191231
002873.SZ,20260305,10.05,1.828,0.88,46.8866,1.9419,245324.325,239862.1651,新天药业,中成药,20170519
688190.SH,20260305,112.58,2.7258,1.52,37.4248,5.2273,1350960.0,1350960.0,云路股份,矿物制品,20211126
